x,initial,t_0.05,t_5.0,t_20.0
-47.947947947947945,1.0,0.9999999999350924,0.7366966431571289,0.6242103160975284
-45.945945945945944,1.0,1.0000000000000002,0.8973130328276239,0.7366707439940101
-43.94394394394394,1.0,1.0000000000000002,0.9712560749900643,0.8288606771075284
-41.94194194194194,1.0,1.0000000000000002,0.9943418612001258,0.8972846444384998
-39.93993993993993,1.0,1.0000000000000002,0.9992271709591961,0.943265062008143
-37.93793793793793,1.0,1.0000000000000002,0.9999274080853235,0.9712404456588175
-35.93593593593593,1.0,1.0000000000000002,0.9999953396432281,0.9866509162566149
-33.93393393393393,1.0,1.0000000000000002,0.9999997963932108,0.9943367388305813
-31.931931931931928,1.0,1.0000000000000002,0.9999999939654917,0.9978072782248936
-29.929929929929926,1.0,1.0000000000000002,0.9999999998789532,0.9992261169215708
-27.927927927927925,1.0,1.0000000000000002,0.9999999999983596,0.9997512815198488
-25.925925925925924,1.0,1.0000000000000002,0.9999999999999849,0.9999272686425489
-23.923923923923923,1.0,1.0000000000000002,1.0,0.9999806618185384
-21.92192192192192,1.0,1.0000000000000002,1.0000000000000002,0.9999953276320671
-19.91991991991992,1.0,1.0000000000000002,1.0,0.9999989746507127
-17.91791791791792,1.0,1.0000000000000002,1.0000000000000002,0.9999997957144717
-15.915915915915917,1.0,1.0000000000000002,1.0000000000000002,0.9999999630616144
-13.913913913913902,1.0,1.0000000000000002,1.0000000000000002,0.9999999939402062
-11.9119119119119,1.0,1.0000000000000002,1.0,0.9999999990983035
-9.9099099099099,1.0,1.0000000000000002,1.0000000000000002,0.9999999998783299
-7.907907907907898,1.0,1.0000000000000002,1.0000000000000002,0.9999999999851152
-5.905905905905897,1.0,1.0000000000000002,1.0000000000000002,0.9999999999983494
-3.9039039039038954,1.0,1.0000000000000002,1.0,0.9999999999998341
-1.9019019019018941,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999846
0.10010010010010717,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999973
2.1021021021021085,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999847
4.10410410410411,1.0,1.0000000000000002,1.0000000000000002,0.9999999999998339
6.106106106106111,1.0,1.0000000000000002,1.0000000000000002,0.9999999999983494
8.108108108108112,1.0,1.0000000000000002,1.0000000000000002,0.9999999999851152
10.110110110110114,1.0,1.0000000000000002,1.0000000000000002,0.9999999998783299
12.112112112112115,1.0,1.0000000000000002,1.0000000000000002,0.9999999990983037
14.114114114114116,1.0,1.0000000000000002,1.0000000000000002,0.9999999939402063
16.116116116116117,1.0,1.0000000000000002,1.0000000000000002,0.9999999630616144
18.11811811811812,1.0,1.0000000000000002,1.0000000000000002,0.999999795714472
20.120120120120134,1.0,1.0000000000000002,1.0000000000000002,0.9999989746507129
22.122122122122136,1.0,1.0000000000000002,1.0000000000000002,0.9999953276320671
24.124124124124137,1.0,1.0000000000000002,0.9999999999999999,0.9999806618185384
26.126126126126138,1.0,1.0000000000000002,0.9999999999999851,0.9999272686425489
28.12812812812814,1.0,1.0000000000000002,0.9999999999983596,0.9997512815198488
30.13013013013014,1.0,1.0000000000000002,0.9999999998789533,0.9992261169215708
32.13213213213214,1.0,1.0000000000000002,0.9999999939654917,0.9978072782248936
34.13413413413414,1.0,1.0000000000000002,0.9999997963932108,0.9943367388305813
36.136136136136145,1.0,1.0000000000000002,0.9999953396432281,0.9866509162566149
38.138138138138146,1.0,1.0000000000000002,0.9999274080853235,0.9712404456588175
40.14014014014015,1.0,1.0000000000000002,0.9992271709591961,0.9432650620081426
42.14214214214215,1.0,1.0000000000000002,0.9943418612001258,0.8972846444384994
44.14414414414415,1.0,1.0000000000000002,0.971256074990064,0.8288606771075281
46.14614614614615,1.0,1.0000000000000002,0.8973130328276232,0.7366707439940096
48.14814814814815,1.0,0.9999999999350924,0.7366966431571274,0.6242103160975275
50.150150150150154,0.0,0.49999999999999095,0.4999999999999992,0.49999999999999956
52.152152152152155,0.0,6.490769416803019e-11,0.26330335684287126,0.3757896839024716
54.154154154154156,0.0,6.712817591595797e-38,0.10268696717237626,0.2633292560059899
56.15615615615616,0.0,2.754509396161599e-82,0.028743925009935774,0.1711393228924714
58.15815815815816,0.0,4.4330356668461086e-144,0.005658138799874346,0.10271535556150037
60.16016016016016,0.0,2.7975950781018695e-223,0.0007728290408039207,0.056734937991857054
62.16216216216216,0.0,6.923e-320,7.259191467660324e-05,0.028759554341182356
64.16416416416416,0.0,0.0,4.6603567721617865e-06,0.013349083743384995
66.16616616616616,0.0,0.0,2.0360678927845637e-07,0.0056632611694186355
